time,user_id,user_name,content,grade,fans_club
21:07:56,54642780642,99,@淡年华 这样自我安慰一下是吧[捂脸][捂脸],[等级48],
21:07:56,109487357361,Yan,老黑，我来抓你了,[等级24],[粉丝团 Lv5]
21:07:58,4389705835090323,偷狗被打断三条腿,来偷我呀，我在军事基地,[等级3],
21:08:06,111426526665,天蝎座♏️,完辣,[等级14],
21:08:09,111426526665,天蝎座♏️,哈哈哈哈,[等级14],
21:08:23,111156712881,玫茉儿,[呲牙][送心],[等级18],[粉丝团 Lv10]
21:08:31,100228336934,忍住不想说,老黑五一还给我们直播呢,[等级29],
21:08:33,57729539122,Mos,今天白天就放假了吗？？,[等级11],[粉丝团 Lv10]
21:08:37,3175862005677819,汽车电器电路电子,撞槿夕了,[等级8],
21:08:37,879235309773102,不要再吃了,有钢枪队友一起吗[流泪],[等级7],[粉丝团 Lv2]
21:08:41,2040334290789277,星晴月落,一下子跳这么远,[等级14],[粉丝团 Lv2]
21:08:44,111426526665,天蝎座♏️,真能拉,[等级14],
21:08:52,2040334290789277,星晴月落,这是重播快进吗,[等级14],[粉丝团 Lv2]
21:08:56,75818996394,༄྄ེིོུ lhxཉི࿔࿆࿐ོ⿻⿻⿻义,越跑越远[捂脸],[等级22],
21:09:01,93234576235,Mr 周,好卡,[等级4],
21:09:09,57729539122,Mos,我以为我卡,[等级11],[粉丝团 Lv10]
21:09:14,83842821625,M̶r̶-̶北̶筏̶,黄衣服那个像黄金风衣[捂脸],[等级26],[粉丝团 Lv7]
21:09:18,57729539122,Mos,这本子不卡了,[等级11],[粉丝团 Lv10]
21:09:23,98168646968,我是真的困,吉克隽逸,,
21:09:24,2113674128397147,𓏸 𓂂 𓈒 🐟,我也以为我卡,[等级11],[粉丝团 Lv10]
21:09:25,77416951506,ら孤痞,不卡,[等级36],[粉丝团:张君雅 Lv17]
21:09:27,98261208043,麒麟^_^,好紧张[捂脸][捂脸][捂脸],[等级16],[粉丝团 Lv12]
21:09:28,3143595301,懒洋洋,@༄྄ེིོུ lhxཉི࿔࿆࿐ོ⿻⿻⿻义 你能看得懂才怪[看],[等级26],[粉丝团 Lv12]
21:09:32,2652457515884291,小糯米,[666][666][666][666][666],[等级12],[粉丝团 Lv12]
21:09:37,59121284288,张君雅的绯闻男友,@ら孤痞,[等级24],[粉丝团 Lv11]
21:09:39,2040334290789277,星晴月落,刚刚还没捡200，一下子山顶打人了,[等级14],[粉丝团 Lv2]
21:09:45,59121284288,张君雅的绯闻男友,@ら孤痞 [微笑],[等级24],[粉丝团 Lv11]
21:09:49,75818996394,༄྄ེིོུ lhxཉི࿔࿆࿐ོ⿻⿻⿻义,@懒洋洋 我看懂你黑心木耳,[等级22],
21:09:56,91609062591,久久💞ــــﮩﮩ٨,@星晴月落 你啥眼神哦,[等级35],[粉丝团 Lv15]
